title,link,published,retrieved_at,relevanceSource,author,abstract,category
Latent Factor Analysis in Short Panels,https://arxiv.org/abs/2306.14004,,06/03/2024 00:00,Manual,"Alain-Philippe Fortin, Patrick Gagliardini, Olivier Scaillet",We develop inferential tools for latent factor analysis in short panels. The pseudo maximum likelihood setting under a large cross-sectional dimension n and a fixed time series dimension T relies on a diagonal TxT covariance matrix of the errors without imposing sphericity nor Gaussianity. We outline the asymptotic distributions of the latent factor and error covariance estimates as well as of an asymptotically uniformly most powerful invariant (AUMPI) test for the number of factors based on the likelihood ratio statistic. We derive the AUMPI characterization from inequalities ensuring the monotone likelihood ratio property for positive definite quadratic forms in normal variables. An empirical application to a large panel of monthly U.S. stock returns separates month after month systematic and idiosyncratic risks in short subperiods of bear vs. bull market based on the selected number of factors. We observe an uptrend in the paths of total and idiosyncratic volatilities while the systematic risk explains a large part of the cross-sectional total variance in bear markets but is not driven by a single factor. Rank tests show that observed factors struggle spanning latent factors with a discrepancy between the dimensions of the two factor spaces decreasing over time.,"econ.EM, q-fin.PR, q-fin.ST, stat.AP, stat.ME"
Time Instability of the Fama-French Multifactor Models: An International Evidence,https://arxiv.org/abs/2208.01270,,06/04/2024 09:20,Manual,"Koichiro Moriya, Akihiko Noda","This paper investigates the time-varying structure of Fama and French's (1993; 2015) multi-factor models using Fama and MacBeth's (1973) two-step estimation based on the rolling window method. In particular, we employ the generalized GRS statistics proposed by Kamstra and Shi (2024) to examine whether the validity of the risk factors (or factor redundancy) in the FF3 and FF5 models remains stable over time, and investigate whether the manner of portfolio sorting affects the time stability of the validity of the risk factors. In addition, we examine whether the similar results are obtained even when we use different datasets by country and region. First, we find that the effectiveness of factors in the FF3 and FF5 models is not stable over time in all countries. Second, the effectiveness of factors is also affected by the manner of portfolio sorting. Third, the validity of the FF3, FF5, and their nested models do not remain stable over time except for Japan. This suggests that the efficient market hypothesis is supported in the Japanese stock market. Finally, the factor redundancy varies over time and is affected by the manner of portfolio sorting mainly in the U.S. and Europe.","q-fin.ST, econ.GN, q-fin.EC, q-fin.PR"
Financial Deepening and Economic Growth in Select Emerging Markets with Currency Board Systems: Theory and Evidence,https://arxiv.org/abs/2406.00472,,06/04/2024 09:20,Manual,Yujuan Qiu,"This paper investigates some indicators of financial development in select countries with currency board systems and raises some questions about the connection between financial development and growth in currency board systems. Most of those cases are long past episodes of what we would now call emerging markets. However, the paper also looks at Hong Kong, the currency board system that is one of the world's largest and most advanced financial markets. The global financial crisis of 2008 09 created doubts about the efficiency of financial markets in advanced economies, including in Hong Kong, and unsettled the previous consensus that a large financial sector would be more stable than a smaller one.",econ.EM
Portfolio Optimization with Robust Covariance and Conditional Value-at-Risk Constraints,https://arxiv.org/abs/2406.00610,,06/04/2024 09:20,Manual,Qiqin Zhou,"The measure of portfolio risk is an important input of the Markowitz framework. In this study, we explored various methods to obtain a robust covariance estimators that are less susceptible to financial data noise. We evaluated the performance of large-cap portfolio using various forms of Ledoit Shrinkage Covariance and Robust Gerber Covariance matrix during the period of 2012 to 2022. Out-of-sample performance indicates that robust covariance estimators can outperform the market capitalization-weighted benchmark portfolio, particularly during bull markets. The Gerber covariance with Mean-Absolute-Deviation (MAD) emerged as the top performer. However, robust estimators do not manage tail risk well under extreme market conditions, for example, Covid-19 period. When we aim to control for tail risk, we should add constraint on Conditional Value-at-Risk (CVaR) to make more conservative decision on risk exposure. Additionally, we incorporated unsupervised clustering algorithm K-means to the optimization algorithm (i.e. Nested Clustering Optimization, NCO). It not only helps mitigate numerical instability of the optimization algorithm, but also contributes to lower drawdown as well.","q-fin.PM, econ.EM, math.OC, q-fin.MF, stat.ML"
Causal Contrastive Learning for Counterfactual Regression Over Time,https://arxiv.org/abs/2406.00535,,06/04/2024 09:20,Manual,"Mouad El Bouchattaoui, Myriam Tami, Benoit Lepetit, Paul-Henry Courn\`ede","Estimating treatment effects over time holds significance in various domains, including precision medicine, epidemiology, economy, and marketing. This paper introduces a unique approach to counterfactual regression over time, emphasizing long-term predictions. Distinguishing itself from existing models like Causal Transformer, our approach highlights the efficacy of employing RNNs for long-term forecasting, complemented by Contrastive Predictive Coding (CPC) and Information Maximization (InfoMax). Emphasizing efficiency, we avoid the need for computationally expensive transformers. Leveraging CPC, our method captures long-term dependencies in the presence of time-varying confounders. Notably, recent models have disregarded the importance of invertible representation, compromising identification assumptions. To remedy this, we employ the InfoMax principle, maximizing a lower bound of mutual information between sequence data and its representation. Our method achieves state-of-the-art counterfactual estimation results using both synthetic and real-world data, marking the pioneering incorporation of Contrastive Predictive Encoding in causal inference.","cs.LG, stat.ME"
A Geometric Approach To Asset Allocation With Investor Views,https://arxiv.org/abs/2406.01199,,06/04/2024 09:20,Manual,"Alexandre V. Antonov, Koushik Balasubramanian, Alexander Lipton, Marcos Lopez de Prado","In this article, a geometric approach to incorporating investor views in portfolio construction is presented. In particular, the proposed approach utilizes the notion of generalized Wasserstein barycenter (GWB) to combine the statistical information about asset returns with investor views to obtain an updated estimate of the asset drifts and covariance, which are then fed into a mean-variance optimizer as inputs. Quantitative comparisons of the proposed geometric approach with the conventional Black-Litterman model (and a closely related variant) are presented. The proposed geometric approach provides investors with more flexibility in specifying their confidence in their views than conventional Black-Litterman model-based approaches. The geometric approach also rewards the investors more for making correct decisions than conventional BL based approaches. We provide empirical and theoretical justifications for our claim.","q-fin.MF, q-fin.GN, q-fin.PM"
An adaptive volatility method for probabilistic forecasting and its application to the M6 financial forecasting competition,https://arxiv.org/abs/2303.01855,,06/04/2024 09:20,Manual,"Joseph de Vilmarest, Nicklas Werge","In this paper, we address the problem of probabilistic forecasting using an adaptive volatility method rooted in classical time-varying volatility models and leveraging online stochastic optimization algorithms. These principles were successfully applied in the M6 forecasting competition under the team named AdaGaussMC. Our approach takes a unique path by embracing the Efficient Market Hypothesis (EMH) instead of trying to beat the market directly. We focus on evaluating the efficient market, emphasizing the importance of online forecasting in adapting to the dynamic nature of financial markets. The three key points of our approach are: (a) apply the univariate time-varying volatility model AdaVol, (b) obtain probabilistic forecasts of future returns, and (c) optimize the competition metrics using stochastic gradient-based algorithms. We contend that the simplicity of our approach contributes to its robustness and consistency. Remarkably, our performance in the M6 competition resulted in an overall 7th ranking, with a noteworthy 5th position in the forecasting task. This achievement, considering the perceived simplicity of our approach, underscores the efficacy of our adaptive volatility method in the realm of probabilistic forecasting.","q-fin.PM, q-fin.ST"
Data Scaling Effect of Deep Learning in Financial Time Series Forecasting,https://arxiv.org/abs/2309.02072,,06/04/2024 09:20,Manual,"Chen Liu, Minh-Ngoc Tran, Chao Wang, Richard Gerlach, Robert Kohn","For years, researchers investigated the applications of deep learning in forecasting financial time series. However, they continued to rely on the conventional econometric approach for model training that optimizes the deep learning models on individual assets. This study highlights the importance of global training, where the deep learning model is optimized across a wide spectrum of stocks. Focusing on stock volatility forecasting as an exemplar, we show that global training is not only beneficial but also necessary for deep learning-based financial time series forecasting. We further demonstrate that, given a sufficient amount of training data, a globally trained deep learning model is capable of delivering accurate zero-shot forecasts for any stocks.","econ.EM, cs.AI, q-fin.CP"
A multifractional option pricing formula,https://arxiv.org/abs/2303.16314,,06/04/2024 09:20,Manual,Axel A. Araneda,"Fractional Brownian motion has become a standard tool to address long-range dependence in financial time series. However, a constant memory parameter is too restrictive to address different market conditions. Here we model the price fluctuations using a multifractional Brownian motion assuming that the Hurst exponent is a time-deterministic function. Through the multifractional Ito calculus, both the related transition density function and the analytical European Call option pricing formula are obtained. The empirical performance of the multifractional Black-Scholes model is tested by calibration of option market quotes for the SPX index and offers best fit than its counterparts based on standard and fractional Brownian motions.",q-fin.MF
Modelling Non-monotone Risk Aversion and Convex Compensation in Incomplete Markets,https://arxiv.org/abs/2406.00435,,06/04/2024 09:20,Manual,"Yang Liu, Zhenyu Shen","In hedge funds, convex compensation schemes are popular to stimulate a high-profit performance for portfolio managers. In economics, non-monotone risk aversion is proposed to argue that individuals may not be risk-averse when the wealth level is low. Combining these two ingredients, we study the optimal control strategy of the manager in incomplete markets. Generally, we propose a wide class of utility functions, the Piecewise Symmetric Asymptotic Hyperbolic Absolute Risk Aversion (PSAHARA) utility, to model the two ingredients, containing both non-concavity and non-differentiability as some abnormalities. Significantly, we derive an explicit optimal control for the family of PSAHARA utilities. This control is expressed into a unified four-term structure, featuring the asymptotic Merton term and the risk adjustment term. Furthermore, we provide a detailed asymptotic analysis and numerical illustration of the optimal portfolio. We obtain the following key insights: (i) A manager with the PSAHARA utility becomes extremely risk-seeking when his/her wealth level tends to zero; (ii) The optimal investment ratio tends to the Merton constant as the wealth level approaches infinity and the negative Merton constant when the wealth falls to negative infinity, implying that such a manager takes a risk-seeking investment as the wealth falls negatively low; (iii) The convex compensation still induces a great risk-taking behavior in the case that the preference is modeled by SAHARA utility. Finally, we conduct a real-data analysis of the U.S. stock market under the above model and conclude that the PSAHARA portfolio is very risk-seeking and leads to a high return and a high volatility (two-peak Sharpe ratio).","math.OC, q-fin.MF"
HLOB -- Information Persistence and Structure in Limit Order Books,https://arxiv.org/abs/2405.18938,,06/03/2024 00:00,Manual,"Antonio Briola, Silvia Bartolucci, Tomaso Aste","We introduce a novel large-scale deep learning model for Limit Order Book mid-price changes forecasting, and we name it `HLOB'. This architecture (i) exploits the information encoded by an Information Filtering Network, namely the Triangulated Maximally Filtered Graph, to unveil deeper and non-trivial dependency structures among volume levels; and (ii) guarantees deterministic design choices to handle the complexity of the underlying system by drawing inspiration from the groundbreaking class of Homological Convolutional Neural Networks. We test our model against 9 state-of-the-art deep learning alternatives on 3 real-world Limit Order Book datasets, each including 15 stocks traded on the NASDAQ exchange, and we systematically characterize the scenarios where HLOB outperforms state-of-the-art architectures. Our approach sheds new light on the spatial distribution of information in Limit Order Books and on its degradation over increasing prediction horizons, narrowing the gap between microstructural modeling and deep learning-based forecasting in high-frequency financial markets.","q-fin.TR, cs.LG"
Revisiting Elastic String Models of Forward Interest Rates,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4773233,4/16/2024 5:23,04/16/2024 05:23,Manual,"Victor Le Coz, Jean-Philippe  Bouchaud","Twenty five years ago, several authors proposed to model the forward interest rate curve (FRC) as an elastic string along which idiosyncratic shocks propagate, accounting for the peculiar structure of the return correlation across different maturities. In this paper, we revisit the specific ""stiff'' elastic string field theory of Baaquie and Bouchaud (2004) in a way that makes its micro-foundation more transparent. Our model can be interpreted as capturing the effect of market forces that set the rates of nearby tenors in a self-referential fashion. The model is parsimonious and accurately reproduces the whole correlation structure of the FRC over the time period 1994-2023, with an error below 2%. We need only two parameters, the values of which being very stable except perhaps during the Quantitative Easing period 2009-2014. The dependence of correlation on time resolution (also called the Epps effect) is also faithfully reproduced within the model and leads to a cross-tenor information propagation time of 10 minutes. Finally, we confirm that the perceived time in interest rate markets is a strongly sub-linear function of real time, as surmised by Baaquie and Bouchaud (2004). In fact, our results are fully compatible with hyperbolic discounting, in line with the recent behavioural literature (Farmer and Geanakoplos, 2009).",
Market Risk Premium and ESG Risk,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4762314,4/12/2024 16:30,04/12/2024 16:30,Manual,"Daewoung Choi, Yong Kyu Gam, Yong Hyuck Kim, Dmitriy Muravyev, Hojong Shin","We study the impact of market-wide environmental, social, and governance (ESG) risk on the equity risk premium. We construct an aggregate ESG risk index, consolidating firm-level ESG risk scores from 2010 to 2022. Using the index, we identify days with large increases in aggregate ESG risk (“ESG days”), about 14 days per year. We find a strong positive correlation between the stock market beta and average returns on ESG days. Specifically, the market risk premium is 0.315% on ESG days, in stark contrast to the -0.014% premium on non-ESG days. These findings are consistent across model specifications and test portfolios. The results suggest that ESG risk is systematic and priced.",
Position: What Can Large Language Models Tell Us about Time Series Analysis,https://arxiv.org/abs/2402.02713,,06/04/2024 09:20,Manual,"Ming Jin, Yifan Zhang, Wei Chen, Kexin Zhang, Yuxuan Liang, Bin Yang, Jindong Wang, Shirui Pan, Qingsong Wen","Time series analysis is essential for comprehending the complexities inherent in various realworld systems and applications. Although large language models (LLMs) have recently made significant strides, the development of artificial general intelligence (AGI) equipped with time series analysis capabilities remains in its nascent phase. Most existing time series models heavily rely on domain knowledge and extensive model tuning, predominantly focusing on prediction tasks. In this paper, we argue that current LLMs have the potential to revolutionize time series analysis, thereby promoting efficient decision-making and advancing towards a more universal form of time series analytical intelligence. Such advancement could unlock a wide range of possibilities, including time series modality switching and question answering. We encourage researchers and practitioners to recognize the potential of LLMs in advancing time series analysis and emphasize the need for trust in these related efforts. Furthermore, we detail the seamless integration of time series analysis with existing LLM technologies and outline promising avenues for future research.","cs.LG, cs.AI"
Trading Volume Alpha,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4802345,4/23/2024 1:46,04/23/2024 01:46,Manual,"Ruslan Goyenko, Bryan T. Kelly, Tobias J. Moskowitz, Yinan Su, Chao Zhang","Portfolio optimization chiefly focuses on risk and return prediction, yet implementation costs also play a critical role. Predicting trading costs is challenging, however, since costs depend endogenously on trade size and trader identity, thus impeding a generic solution. We focus on a key, yet general, component of trading costs that abstracts from these challenges---trading volume. Trading volume is highly predictable, especially with machine learning.  We model the economic benefits of predicting volume through a portfolio framework that trades off portfolio tracking error versus net-of-cost performance---in essence translating volume prediction into net-of-cost portfolio alpha. We find the benefits of predicting volume to be substantial, and potentially as large as those from return prediction.",
Optimal single threshold stopping rules and sharp prophet inequalities,https://arxiv.org/abs/2404.12949,,06/04/2024 09:20,Manual,"Alexander Goldenshluger, Yaakov Malinovsky, Assaf Zeevi","This paper considers a finite horizon optimal stopping problem for a sequence of independent and identically distributed random variables. The objective is to design stopping rules that attempt to select the random variable with the highest value in the sequence. The performance of any stopping rule may be benchmarked relative to the selection of a ``prophet"" that has perfect foreknowledge of the largest value. Such comparisons are typically stated in the form of ""prophet inequalities."" In this paper we characterize sharp prophet inequalities for single threshold stopping rules as solutions to infinite two person zero sum games on the unit square with special payoff kernels. The proposed game theoretic characterization allows one to derive sharp non-asymptotic prophet inequalities for different classes of distributions. This, in turn, gives rise to a simple and computationally tractable algorithmic paradigm for deriving optimal single threshold stopping rules.","math.PR, cs.GT, math.OC, math.ST, stat.TH"
ESG-FTSE: A corpus of news articles with ESG relevance labels and use cases,https://arxiv.org/abs/2405.20218,,06/03/2024 00:00,Manual,"Mariya Pavlova, Bernard Casey, Miaosen Wang","We present ESG-FTSE, the first corpus comprised of news articles with Environmental, Social and Governance (ESG) relevance annotations. In recent years, investors and regulators have pushed ESG investing to the mainstream due to the urgency of climate change. This has led to the rise of ESG scores to evaluate an investment's credentials as socially responsible. While demand for ESG scores is high, their quality varies wildly. Quantitative techniques can be applied to improve ESG scores, thus, responsible investing. To contribute to resource building for ESG and financial text mining, we pioneer the ESG-FTSE corpus. We further present the first of its kind ESG annotation schema. It has three levels: a binary classification (relevant versus irrelevant news articles), ESG classification (ESG-related news articles), and target company. Both supervised and unsupervised learning experiments for ESG relevance detection were conducted to demonstrate that the corpus can be used in different settings to derive accurate ESG predictions. Keywords: corpus annotation, ESG labels, annotation schema, news article, natural language processing",cs.AI
